"Name","International","National"
"IUE-CWA","","CWA"
"International Longshore & Warehouse Union","","ILWU"
"California Nurses Association, Legal Department","","NNU"
"Retail, Wholesale Department Store Union/UFCW Southeast Council","","UFCW"
"INTERNATIONAL UNION OF OPERATING ENGINEERS","","IUOE"
"UNITED AUTOMOBILE, AEROSPACE & AGRICULTURAL IMPLEMENT WORKERS OF AMERICA, UAW","","UAW"
"UNITED GOVERNMENT SECURITY OFFICERS OF AMERICA INTERNATIONAL UNION","","UGSOA"
"International Association of Sheet Metal, Air, Rail & Transportation Workers, AFL-CIO","","SMART"
"International Association of Sheet Metal, Air, Rail and Transportation Workers \(SMART\)","","SMART"
"UNITED ELECTRICAL RADIO AND MACHINE WORKERS OF AMERICA \(UE\)","","UE"
"International Chemical Workers Union Council \(ICWUC\)/UFCW","","UFCW"
"Southern California District Council of Laborers","","LIUNA"
"UNITED STEELWORKERS INTERNATIONAL UNION","","USW"
"SERVICE EMPLOYEES INTERNATIONAL UNION-UNITED HEALTHCARE WORKERS - WEST","","SEIU"
"National Emergency Medical Services Association \(NEMSA\)","","NEMSA"
"INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE & AGRICULTURAL IMPLEMENT WORKERS OF AMERICA, AFL-C","","UAW"
"United Food and Commercial Workers International Union, District Union Local One","","UFCW"
"INTERNATIONAL UNION, SECURITY POLICE AND FIRE PROFESSIONALS OF AMERICA \(SPFPA\)","","SPFPA"
"INTERNATIONAL CHEMICAL WORKERS UNION COUNCIL/UFCW","","UFCW"
"UNITED STEELWORKERS OF AMERICA, AFL-CIO-CLC","","USW"
"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL & SERVICE WORKERS","","USW"
"Laborers","","LIUNA"
"UNITED ASSOCIATION OF JOURNEYMEN AND APPRENTICES OF THE PLUMBING AND PIPE FITTING INDUSTRY OF THE UN","","UA"
"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED, INDUSTRIAL AND SERVICE WORK","","USW"
"SEIU, Service Employees International Union","","SEIU"
"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, CHAUFFEURS, WAREHOUSEMEN AND HELPERS OF AMERICA, LOCAL UNION","","Teamsters"
"INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES, MOVING PICTURE TECHNICIANS, ARTISTS & ALLIED C","","IATSE"
"UNITED STEELWORKERS, AFL-CIO, CLC","","USW"
"INTERNATIONAL UNION, UAW","","UAW"
"SEIU Florida Healthcare Union","","SEIU"
"International Union of Elevator Constructors","","IUEC"
"IAM, Grand Lodge","","IAM"
"Service Employees International Union, AFL-CIO","","SEIU"
"National Association of Broadcast Employees and Technicians-CWA, AFL-CIO","","NABET"
