"Name","National"
"American Federation of State, County and Municipal Employees, Council 5","AFSCME"
"American Federation of State, County and Municipal Employees, Council 5, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees, Council 61","AFSCME"
"American Federation of State, County and Municipal Employees, Council 65, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees, Council 67, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees, Council 75","AFSCME"
"American Federation of State, County and Municipal Employees, Council 77, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees, Council 83, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees, Council 93","AFSCME"
"American Federation of State, County and Municipal Employees, Council 93 AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees, Council 93, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees, District Council 83, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees, District Council 84, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees, District Council 85, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees, District Council 86","AFSCME"
"American Federation of State, County and Municipal Employees, District Council 86, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees, District Council 88","AFSCME"
"American Federation of State, County and Municipal Employees, District Council 88, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees, District Council 90, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees, Local 1644","AFSCME"
"American Federation of State, County and Municipal Employees, Local 1739, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees, Local 3558","AFSCME"
"American Federation of State, County and Municipal Employees, Local 3558, AFSCME","AFSCME"
"American Federation of State, County and Municipal Employees, Local 488","AFSCME"
"American Federation of State, County and Municipal Employees, MN. Council 65","AFSCME"
"American Federation of State, County and Municipal Employees, Minnesota Council 65 (AFSCME), AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees, Minnesota Council 65/MLPNA Local 105","AFSCME"
"American Federation of State, County and Municipal Employees, Minnesota Council 96, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees, Montana State Council 9, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees, State Council No. 18","AFSCME"
"American Federation of State, County and Municipal Employees, Wisconsin Council 40, AFL-CIO","AFSCME"
"American Federation of State, County, & Municipal Employees, AFL-CIO, AFSCME District Council 47","AFSCME"
"American Federation of State, County, & Municipal Employees, Maryland Council 3, AFSCME, AFL-CIO","AFSCME"
"American Federation of State, County, And Municipal Employees (AFSCME) Council 31","AFSCME"
"American Federation of State, County, and Municipal Employees #105","AFSCME"
"American Federation of State, County, and Municipal Employees (AFSCME) Council 31, AFL-CIO","AFSCME"
"American Federation of State, County, and Municipal Employees (AFSCME), Council 31, AFL-CIO","AFSCME"
"American Federation of State, County, and Municipal Employees Council 18, AFL-CIO","AFSCME"
"American Federation of State, County, and Municipal Employees Council 65","AFSCME"
"American Federation of State, County, and Municipal Employees Council 75, Local 88-1","AFSCME"
"American Federation of State, County, and Municipal Employees Council 93","AFSCME"
"American Federation of State, County, and Municipal Employees Local 800, AFL-CIO","AFSCME"
"American Federation of State, County, and Municipal Employees Maryland Council 3","AFSCME"
"American Federation of State, County, and Municipal Employees, AFL-CIO Council 93","AFSCME"
"American Federation of State, County, and Municipal Employees, Council 5","AFSCME"
"American Federation of State, County, and Municipal Employees, Council 75","AFSCME"
"American Federation of State, County, and Municipal Employees, District Council 83, AFL-CIO","AFSCME"
"American Federation of State, County, and Municipal Employees, District Council 88","AFSCME"
